lyric,line,album,track_n,song_name
"i will not topple, i am giving it to anyone who want to come and get it and i am not going to stop",15,Music To Be Murdered By,2,Unaccommodating
but when they ask me is the war finished with mgk? of course it is,16,Music To Be Murdered By,2,Unaccommodating
"i cleansed him of his mortal sins, i am god and the lord forgives even the devil worshippers",17,Music To Be Murdered By,2,Unaccommodating
i am moving on but you know your scruples are gone when you are born with lucifer horns,18,Music To Be Murdered By,2,Unaccommodating
"and you are from the school of notorious, puba, cube and the poor righteous teachers tutored my students",19,Music To Be Murdered By,2,Unaccommodating
showed them all the blueprint and formula,20,Music To Be Murdered By,2,Unaccommodating
"but it seems like the more they studied my music, the more they remind me of eyeballs",21,Music To Be Murdered By,2,Unaccommodating
i am watching my pupils get cornier (uh),22,Music To Be Murdered By,2,Unaccommodating
"but i am contemplating yelling ""bombs away"" on the game",23,Music To Be Murdered By,2,Unaccommodating
like i am outside of an ariana grande concert waiting,24,Music To Be Murdered By,2,Unaccommodating
"they call me saddam hussein, ayatollah khomeini",25,Music To Be Murdered By,2,Unaccommodating
where osama been? i been laden lately,26,Music To Be Murdered By,2,Unaccommodating
"look at how i am behaving, they want me gone away",27,Music To Be Murdered By,2,Unaccommodating
"they want to jonbenét me (fuck you), i am unaccommodating",28,Music To Be Murdered By,2,Unaccommodating
"man, i do not see why they hate me (huh?)",29,Music To Be Murdered By,2,Unaccommodating
i am a clown like john wayne gacy (what?),30,Music To Be Murdered By,2,Unaccommodating
they call me kanye crazy (yah),31,Music To Be Murdered By,2,Unaccommodating
"apeshit, beyonce, jay-z (woo)",32,Music To Be Murdered By,2,Unaccommodating
"and i am back with andre, baby (yeah)",33,Music To Be Murdered By,2,Unaccommodating
and the doctor operating (what?),34,Music To Be Murdered By,2,Unaccommodating
"but he never put no scrubs on from snoop, k. dot to shady",35,Music To Be Murdered By,2,Unaccommodating
"shady like a shadow or your silhouette, intellect, i better check to see why you feel upset",36,Music To Be Murdered By,2,Unaccommodating
'cause i met your bitch on the internet now i am getting head like a pillow pet,37,Music To Be Murdered By,2,Unaccommodating
that bimbo can put her lips all the way around this bone and then blow,38,Music To Be Murdered By,2,Unaccommodating
like a dusty cartridge from an old nintendo,39,Music To Be Murdered By,2,Unaccommodating
"those were the days but i bet you, i am never going to be broke again, no",40,Music To Be Murdered By,2,Unaccommodating
"i do not smoke but i got paper, to be blunt, i am rolling indo",41,Music To Be Murdered By,2,Unaccommodating
"and i keep it one comma, zero, zero, zero, zero",42,Music To Be Murdered By,2,Unaccommodating
"real, real, real, murder, murder, murder, kill, kill, kill",43,Music To Be Murdered By,2,Unaccommodating
"nickel-plated, twenty two, two, two",44,Music To Be Murdered By,2,Unaccommodating
"bitch, shut the fuck up 'fore i shoot you too",45,Music To Be Murdered By,2,Unaccommodating
aint shit i will not do just to get a few youtube views,46,Music To Be Murdered By,2,Unaccommodating
"run up in a church like pew, pew, pew",47,Music To Be Murdered By,2,Unaccommodating
"'cause that what i do, do, do",48,Music To Be Murdered By,2,Unaccommodating
"but, even to the untrained human eye",49,Music To Be Murdered By,2,Unaccommodating
"we aint the same, you and i",50,Music To Be Murdered By,2,Unaccommodating
somebody should have explained to you why,51,Music To Be Murdered By,2,Unaccommodating
"for you to go against me, it simply insane, you will die (yeah)",52,Music To Be Murdered By,2,Unaccommodating
"that why they call me kamikaze, it plain suicide, yeah",53,Music To Be Murdered By,2,Unaccommodating
but i know magic and here go my last trick,54,Music To Be Murdered By,2,Unaccommodating
"i am 'bout to say ""abracadabra"" and pull a b rabbit up out of my hat",55,Music To Be Murdered By,2,Unaccommodating
i am about to relapse and i betcha that you will not know how to react,56,Music To Be Murdered By,2,Unaccommodating
"but a look of disgust, i do not doubt it would be that",57,Music To Be Murdered By,2,Unaccommodating
as i begin to fuckingdevour the track,58,Music To Be Murdered By,2,Unaccommodating
"and you backpedal, that is a cowardly act",59,Music To Be Murdered By,2,Unaccommodating
like a saudi attack when the towers collapsed,60,Music To Be Murdered By,2,Unaccommodating
"they call me saddam hussein, ayatollah khomeini",61,Music To Be Murdered By,2,Unaccommodating
where osama been? i been laden lately,62,Music To Be Murdered By,2,Unaccommodating
"look at how i am behaving, they want me gone away",63,Music To Be Murdered By,2,Unaccommodating
"they want to jonbenét me (fuck you), i am unaccommodating",64,Music To Be Murdered By,2,Unaccommodating
never sold dope for no gold rope,1,Music To Be Murdered By,3,You Gon’ Learn
"wanted one though, they were so dope (yeah)",2,Music To Be Murdered By,3,You Gon’ Learn
was a have-not (yeah) 'cause my pockets (uh),3,Music To Be Murdered By,3,You Gon’ Learn
"did not have knots, i was so broke",4,Music To Be Murdered By,3,You Gon’ Learn
"on my last rock, for my slingshot",5,Music To Be Murdered By,3,You Gon’ Learn
"better haul ass, do not be no slow poke (nope)",6,Music To Be Murdered By,3,You Gon’ Learn
"through the tall grass, run your ass off (yeah)",7,Music To Be Murdered By,3,You Gon’ Learn
"oh no, got your pants caught on the fence post",8,Music To Be Murdered By,3,You Gon’ Learn
"getting chased, by them jackboys, think it 'bout to fuzz",9,Music To Be Murdered By,3,You Gon’ Learn
"like a lint roller they wait 'til it late, they will tiptoe",10,Music To Be Murdered By,3,You Gon’ Learn
through your living room window,11,Music To Be Murdered By,3,You Gon’ Learn
take your nintendo and then skate,12,Music To Be Murdered By,3,You Gon’ Learn
making you feel like you got bent over and raped,13,Music To Be Murdered By,3,You Gon’ Learn
"little boy, you are never going to get no rope chain",14,Music To Be Murdered By,3,You Gon’ Learn
"get your shit stole, and your lip swole, i became bitter",15,Music To Be Murdered By,3,You Gon’ Learn
"as i got a little bit older, my hate",16,Music To Be Murdered By,3,You Gon’ Learn
"was making me get cold, and began to get a chipped shoulder",17,Music To Be Murdered By,3,You Gon’ Learn
"started to spit vulgar, my zip code had been skid row",18,Music To Be Murdered By,3,You Gon’ Learn
"but i ate every single beat that i spit over, the shithole i escaped",19,Music To Be Murdered By,3,You Gon’ Learn
"then i began to explode, detonate, now the eastside went schizo",20,Music To Be Murdered By,3,You Gon’ Learn
thought my name was b-side 'cause they flipped over my tape,21,Music To Be Murdered By,3,You Gon’ Learn
and i will not hesitate,22,Music To Be Murdered By,3,You Gon’ Learn
to get them all bent so outta shape,23,Music To Be Murdered By,3,You Gon’ Learn
"oh shit, bro, hold up, wait",24,Music To Be Murdered By,3,You Gon’ Learn
i just tripped over my cape (superman),25,Music To Be Murdered By,3,You Gon’ Learn
"and i am not going to let up, treat the paper like i am chopping a letter",26,Music To Be Murdered By,3,You Gon’ Learn
dre will tell you how i shred,27,Music To Be Murdered By,3,You Gon’ Learn
"so when you refer to the guy next to the doc, you meant shredder",28,Music To Be Murdered By,3,You Gon’ Learn
"now the cops want to set up roadblocks on my head, i",29,Music To Be Murdered By,3,You Gon’ Learn
got several bounties from feds in every county,30,Music To Be Murdered By,3,You Gon’ Learn
i am with a gal at a checkers wiling,31,Music To Be Murdered By,3,You Gon’ Learn
"bumping ""fuck da police"" while i fed her rally",32,Music To Be Murdered By,3,You Gon’ Learn
this shit is like romper room,33,Music To Be Murdered By,3,You Gon’ Learn
why do i feel responsible for these kids?,34,Music To Be Murdered By,3,You Gon’ Learn
all of whom i am a father to,35,Music To Be Murdered By,3,You Gon’ Learn
"i am a god to you, you all better worship the water i walk on",36,Music To Be Murdered By,3,You Gon’ Learn
or you all going to meet your waterloo,37,Music To Be Murdered By,3,You Gon’ Learn
i get to flippingthe mic' as a murder weapon,38,Music To Be Murdered By,3,You Gon’ Learn
"i am poppingan extra clip, then cock and shoot, then i am popping",39,Music To Be Murdered By,3,You Gon’ Learn
do not let me catch you slippin',40,Music To Be Murdered By,3,You Gon’ Learn
i will pop up and i will take a spot from you,41,Music To Be Murdered By,3,You Gon’ Learn
i will get to doing what a leaky faucet do,42,Music To Be Murdered By,3,You Gon’ Learn
but i aint talkingdrip when i say that i will get the drop on you,43,Music To Be Murdered By,3,You Gon’ Learn
singingfuck all of you in autotune,44,Music To Be Murdered By,3,You Gon’ Learn
i am too volatile and too grizzly to bear,45,Music To Be Murdered By,3,You Gon’ Learn
"yeah, shit is gettingto where i can barely even sit in a chair",46,Music To Be Murdered By,3,You Gon’ Learn
i bust my ass for this shit and i swear,47,Music To Be Murdered By,3,You Gon’ Learn
it aint even worth dissing someone so offbeat,48,Music To Be Murdered By,3,You Gon’ Learn
that they cannot even figure out where their words,49,Music To Be Murdered By,3,You Gon’ Learn
should hit the kick and the snare,50,Music To Be Murdered By,3,You Gon’ Learn
how do you do? ladies and gentlemen,1,Music To Be Murdered By,4,Alfred (Interlude)
my name is alfred hitchcock and this is music to be murdered by,2,Music To Be Murdered By,4,Alfred (Interlude)
it is mood music in a jugular vein,3,Music To Be Murdered By,4,Alfred (Interlude)
so why do not you relax? lean back and enjoy yourself,4,Music To Be Murdered By,4,Alfred (Interlude)
until the coroner comes,5,Music To Be Murdered By,4,Alfred (Interlude)
"yes, this beat’s takingme back to my d12 days",1,Music To Be Murdered By,5,Those Kinda Nights
when we hit the club to go and hell-raise,2,Music To Be Murdered By,5,Those Kinda Nights
probably end up baggingthe cocktail waitress,3,Music To Be Murdered By,5,Those Kinda Nights
and takin’ her straight back to the motel-8,4,Music To Be Murdered By,5,Those Kinda Nights
"yeah, bizarre tryna get a lap dance",5,Music To Be Murdered By,5,Those Kinda Nights
off a xanax and jack dan' (ayo),6,Music To Be Murdered By,5,Those Kinda Nights
"stripper walk by, i am like ""goddamn""",7,Music To Be Murdered By,5,Those Kinda Nights
"she like ""that harassment,"" i am like ""yeah, and?"" (woo)",8,Music To Be Murdered By,5,Those Kinda Nights
"holy toledo, it miss ohio",9,Music To Be Murdered By,5,Those Kinda Nights
that’s the best ass i’ve seen in a while,10,Music To Be Murdered By,5,Those Kinda Nights
"we should be datin', she’s from cleveland",11,Music To Be Murdered By,5,Those Kinda Nights
"but she a bengal, this chick is catty",12,Music To Be Murdered By,5,Those Kinda Nights
is that a mini-skirt if it a maxi?,13,Music To Be Murdered By,5,Those Kinda Nights
that the shortest thing for a dress since an addy (since an addy),14,Music To Be Murdered By,5,Those Kinda Nights
"she said ""fuck off"" and threw her liquor at me",15,Music To Be Murdered By,5,Those Kinda Nights
it’s one of those kinda nights,16,Music To Be Murdered By,5,Those Kinda Nights
"then i said, i said",17,Music To Be Murdered By,5,Those Kinda Nights
this beat keeps takingme back like my ex does,18,Music To Be Murdered By,5,Those Kinda Nights
only 'cause how good the sex was,19,Music To Be Murdered By,5,Those Kinda Nights
"hit up the next club, met alexa",20,Music To Be Murdered By,5,Those Kinda Nights
"but she was so extra, called her etcetera",21,Music To Be Murdered By,5,Those Kinda Nights
"had her like, ""oh my god",22,Music To Be Murdered By,5,Those Kinda Nights
"my whole ipod filled with your songs, i mow my lawn to them""",23,Music To Be Murdered By,5,Those Kinda Nights
"i said, ""oh my god, you know my songs?",24,Music To Be Murdered By,5,Those Kinda Nights
"that totally awesome, i am marshall, what goingon? ah (haha)",25,Music To Be Murdered By,5,Those Kinda Nights
"seriously though, jokes aside, how you doin'? you straight?""",26,Music To Be Murdered By,5,Those Kinda Nights
"she said, ""no, i am bi""",27,Music To Be Murdered By,5,Those Kinda Nights
"she said, ""are you drunk?,"" i said, ""no, i am high",28,Music To Be Murdered By,5,Those Kinda Nights
"i am checkingout the chick,"" she said, ""so am i""",29,Music To Be Murdered By,5,Those Kinda Nights
"""what in the cup, let me see that",30,Music To Be Murdered By,5,Those Kinda Nights
"girl, where the rest of that promethazine at?""",31,Music To Be Murdered By,5,Those Kinda Nights
"she said, ""cool, gotta run out to my cadillac though",32,Music To Be Murdered By,5,Those Kinda Nights
"and i will be like fat joe, and bring the lean back""",33,Music To Be Murdered By,5,Those Kinda Nights
then i said,34,Music To Be Murdered By,5,Those Kinda Nights
omg,35,Music To Be Murdered By,5,Those Kinda Nights
"like the gas in the tank, she gettinglow on me",36,Music To Be Murdered By,5,Those Kinda Nights
said she wants to go with me,37,Music To Be Murdered By,5,Those Kinda Nights
"i said, ""go with you where?"" she said, ""out""",38,Music To Be Murdered By,5,Those Kinda Nights
"i said, ""i am a candle, i will go out if you blow on me""",39,Music To Be Murdered By,5,Those Kinda Nights
"walk her out to the parkinglot, here comes the brigade",40,Music To Be Murdered By,5,Those Kinda Nights
"turn like a flip page, swifty look shitfaced",41,Music To Be Murdered By,5,Those Kinda Nights
say peace to mcvay and me and this chick take off like a sick day,42,Music To Be Murdered By,5,Those Kinda Nights
"drivingaround, i said, ""let pull over,"" she said, ""no problemo",43,Music To Be Murdered By,5,Those Kinda Nights
"windows are dark tint, roll up the car windows""",44,Music To Be Murdered By,5,Those Kinda Nights
"monte carlo in park, bumpingbizarre demo",45,Music To Be Murdered By,5,Those Kinda Nights
"gettinghead in the bucket, marshmello",46,Music To Be Murdered By,5,Those Kinda Nights
"yeah, i never in the club met a woman worth knowin'",47,Music To Be Murdered By,5,Those Kinda Nights
but if you are ho'in,48,Music To Be Murdered By,5,Those Kinda Nights
"opposites attract, i am someone, you are a no one",49,Music To Be Murdered By,5,Those Kinda Nights
"i am high and you are bi, i am comin', you are goin'",50,Music To Be Murdered By,5,Those Kinda Nights
"""this could never work,"" is what we said at first",1,Music To Be Murdered By,6,In Too Deep
"but whatever this is, it working",2,Music To Be Murdered By,6,In Too Deep
but we are in two different worlds and (yeah),3,Music To Be Murdered By,6,In Too Deep
"i am not your husband (nah), you aint my girlfriend",4,Music To Be Murdered By,6,In Too Deep
all i know is that (what?),5,Music To Be Murdered By,6,In Too Deep
"when i am with you, i am a different person, yeah",6,Music To Be Murdered By,6,In Too Deep
and i aint never met a chick as perfect,7,Music To Be Murdered By,6,In Too Deep
"girl, you are a ten, so here i am (yeah)",8,Music To Be Murdered By,6,In Too Deep
laying here with her again,9,Music To Be Murdered By,6,In Too Deep
thinking 'bout you,10,Music To Be Murdered By,6,In Too Deep
"she asleep, you are texting me around two",11,Music To Be Murdered By,6,In Too Deep
"crying face emoji, you say, ""this is me without you""",12,Music To Be Murdered By,6,In Too Deep
we are sneaking out to meet at cheap hotel rooms or,13,Music To Be Murdered By,6,In Too Deep
"sex in the car, then i will text you tomorrow",14,Music To Be Murdered By,6,In Too Deep
"do i question it? nah, no objection at all",15,Music To Be Murdered By,6,In Too Deep
"'cause both of us are still involved, so",16,Music To Be Murdered By,6,In Too Deep
"as i am peelingoff, all i am thinking 'bout is",17,Music To Be Murdered By,6,In Too Deep
"i am not happy here (nah), with her",18,Music To Be Murdered By,6,In Too Deep
"rather have you (yeah), rather have me too",19,Music To Be Murdered By,6,In Too Deep
"'cause you are not happy there (you are not happy there), with him",20,Music To Be Murdered By,6,In Too Deep
"rather have me (i know, but), we’re just in too deep",21,Music To Be Murdered By,6,In Too Deep
"you are laying there with him, thinking 'bout me",22,Music To Be Murdered By,6,In Too Deep
"he asleep, you say, ""let meet around three""",23,Music To Be Murdered By,6,In Too Deep
"you went to leave the house, he caught you sneaking out, now he freaking out",24,Music To Be Murdered By,6,In Too Deep
"you thought he was sleepingsoundly, woah",25,Music To Be Murdered By,6,In Too Deep
"you say you are going for a drive, you do not question him",26,Music To Be Murdered By,6,In Too Deep
"when he stumbles in, like, ""where the fuck you have been?""",27,Music To Be Murdered By,6,In Too Deep
then you pump his ear with what he wants to hear,28,Music To Be Murdered By,6,In Too Deep
"tell him you love him, yeah, wipe each other tears",29,Music To Be Murdered By,6,In Too Deep
but it been a couple years since we been doingdirt,30,Music To Be Murdered By,6,In Too Deep
"you or my girl, do not want to see either of you get hurt",31,Music To Be Murdered By,6,In Too Deep
but now the lines are getting super blurred,32,Music To Be Murdered By,6,In Too Deep
cannot tell if i am cheating on her with you or cheating on you with her,33,Music To Be Murdered By,6,In Too Deep
"but really, nobody at fault, cannot help who you love",34,Music To Be Murdered By,6,In Too Deep
hope they do not overhear us talk,35,Music To Be Murdered By,6,In Too Deep
'cause we both are getting sloppy,36,Music To Be Murdered By,6,In Too Deep
probably subconsciously part of me hoping we get caught 'cause,37,Music To Be Murdered By,6,In Too Deep
"i am not happy here (nah), with her",38,Music To Be Murdered By,6,In Too Deep
"rather have you (yeah), rather have me too",39,Music To Be Murdered By,6,In Too Deep
"'cause you are not happy there (you are not happy there), with him",40,Music To Be Murdered By,6,In Too Deep
"rather have me (i know, but), we’re just in too deep",41,Music To Be Murdered By,6,In Too Deep
"we are laying here with them, thinking 'bout us",42,Music To Be Murdered By,6,In Too Deep
"'cause now when we get home, we get jealous",43,Music To Be Murdered By,6,In Too Deep
of each other being someone else,44,Music To Be Murdered By,6,In Too Deep
call us long john silver 'cause we selfish,45,Music To Be Murdered By,6,In Too Deep
but i just want to see ya,46,Music To Be Murdered By,6,In Too Deep
do not care if it at the ritz or motel 6,47,Music To Be Murdered By,6,In Too Deep
"if i am there with ya, rich or poor",48,Music To Be Murdered By,6,In Too Deep
"when i am laying here with ya, it could be the kitchen floor",49,Music To Be Murdered By,6,In Too Deep
i could stay in bed with ya staringat ya 'til the morn',50,Music To Be Murdered By,6,In Too Deep
"i just want to be your secret lover, yeah",51,Music To Be Murdered By,6,In Too Deep
i would rather share ya than to not have you at all,52,Music To Be Murdered By,6,In Too Deep
so once a year or twice a month i am here if you want it,53,Music To Be Murdered By,6,In Too Deep
"yeah, i am open season",54,Music To Be Murdered By,6,In Too Deep
"and i am always game, so i keep it a hundred, dear, haha",55,Music To Be Murdered By,6,In Too Deep
"'cause we could never be each other everythings, you got a wedding ring",56,Music To Be Murdered By,6,In Too Deep
"so it him instead of me, but i will be your second string, now and forever because",57,Music To Be Murdered By,6,In Too Deep
"i am not happy here (nah), with her",58,Music To Be Murdered By,6,In Too Deep
"rather have you (yeah), rather have me too",59,Music To Be Murdered By,6,In Too Deep
"'cause you are not happy there (you are not happy there), with him",60,Music To Be Murdered By,6,In Too Deep
"rather have me (i know, but), we’re just in too deep (i am in way too deep)",61,Music To Be Murdered By,6,In Too Deep
"ugh, you are a monster",1,Music To Be Murdered By,7,Godzilla
i can swallow a bottle of alcohol and i will feel like godzilla,2,Music To Be Murdered By,7,Godzilla
better hit the deck like the card dealer,3,Music To Be Murdered By,7,Godzilla
"my whole squad in here, walking around the party",4,Music To Be Murdered By,7,Godzilla
"a cross between a zombie apocalypse and b-bobby ""the",5,Music To Be Murdered By,7,Godzilla
"brain"" heenan which is probably the",6,Music To Be Murdered By,7,Godzilla
same reason i wrestle with mania,7,Music To Be Murdered By,7,Godzilla
"shady in this bitch, i am posse would up",8,Music To Be Murdered By,7,Godzilla
consider it to cross me a costly mistake,9,Music To Be Murdered By,7,Godzilla
"if they sleepingon me, the hoes better get insomnia",10,Music To Be Murdered By,7,Godzilla
"adhd, hydroxycut",11,Music To Be Murdered By,7,Godzilla
"pass the courvoisier (hey, hey)",12,Music To Be Murdered By,7,Godzilla
"in aa with an ak, melee, going to set it like a playdate",13,Music To Be Murdered By,7,Godzilla
"better vacate, retreat like a vacay, mayday (ayy)",14,Music To Be Murdered By,7,Godzilla
"this beat is cray-cray, ray j, h-a-h-a-h-a",15,Music To Be Murdered By,7,Godzilla
"laughing all the way to the bank, i spray flames",16,Music To Be Murdered By,7,Godzilla
they cannot tame or placate the,17,Music To Be Murdered By,7,Godzilla
monster,18,Music To Be Murdered By,7,Godzilla
"you get in my way, i ama feed you to the monster (yeah)",19,Music To Be Murdered By,7,Godzilla
"i am normal during the day, but at night, turn to a monster (yeah)",20,Music To Be Murdered By,7,Godzilla
when the moon shines like ice road truckers,21,Music To Be Murdered By,7,Godzilla
i look like a villain outta those blockbusters,22,Music To Be Murdered By,7,Godzilla
"godzilla, fire spitter, monster",23,Music To Be Murdered By,7,Godzilla
"blood on the dance floor, and louis v carpet",24,Music To Be Murdered By,7,Godzilla
"fire, godzilla, fire, monster",25,Music To Be Murdered By,7,Godzilla
"blood on the dance floor, and louis v carpet",26,Music To Be Murdered By,7,Godzilla
"i am just a product of slick rick and onyx, told them lick the balls",27,Music To Be Murdered By,7,Godzilla
"had them just appalled, did so many things that pissed them off",28,Music To Be Murdered By,7,Godzilla
it impossible to list them all,29,Music To Be Murdered By,7,Godzilla
and in the midst of all this,30,Music To Be Murdered By,7,Godzilla
i am in a mental hospital with a crystal ball,31,Music To Be Murdered By,7,Godzilla
"tryna see, will i still be like this tomorrow?",32,Music To Be Murdered By,7,Godzilla
"risperdal, voices whisper",33,Music To Be Murdered By,7,Godzilla
"my fist is balled back up against the wall, pencil drawn",34,Music To Be Murdered By,7,Godzilla
this is just the song to go ballistic on,35,Music To Be Murdered By,7,Godzilla
you just pulled a pistol on a guy with a missile launcher,36,Music To Be Murdered By,7,Godzilla
"i am just a loch ness, the mythological",37,Music To Be Murdered By,7,Godzilla
quick to tell a bitch screw off like a fifth of vodka,38,Music To Be Murdered By,7,Godzilla
"when you twist the top of the bottle, i am a",39,Music To Be Murdered By,7,Godzilla
monster,40,Music To Be Murdered By,7,Godzilla
"you get in my way, i ama feed you to the monster (yeah)",41,Music To Be Murdered By,7,Godzilla
"i am normal during the day, but at night, turn to a monster (yeah)",42,Music To Be Murdered By,7,Godzilla
when the moon shines like ice road truckers,43,Music To Be Murdered By,7,Godzilla
i look like a villain outta those blockbusters,44,Music To Be Murdered By,7,Godzilla
"godzilla, fire spitter, monster",45,Music To Be Murdered By,7,Godzilla
